Kecamatan,Jumlah Karyawan,Aset,Omset,Tahun Berdiri,Keterangan,,,,,,,,,,,,
Andir,2,13000000,130000000,2003,Mikro,,,,,,,,,,,,
Andir,4,35000000,100000000,1998,Mikro,,,,,,,,,,,,
Andir,6,-,-,1982,Mikro,,,,,,,,,,,,
Andir,7,60000000,150000000,1997,Kecil,,,,,,,,,,,,
Andir,8,60000000,240000000,1998,Kecil,,,,,,,,,,,,
Andir,4,-,26400000,2001,Mikro,,,,,,,,,,,,
Andir,15,-,-,-,Mikro,,,,,,,,,,,,
Andir,6,-,-,2007,Mikro,,,,,,,,,,,,
Andir,1,-,3600000,2008,Mikro,,,,,,,,,,,,
Andir,-,-,24000000,2003,Mikro,,,,,,,,,,,,
Andir,3,-,40000000,2001,Mikro,,,,,,,,,,,,
Andir,8,-,240000000,2001,Mikro,,,,,,,,,,,,
Andir,12,-,240000000,2005,Mikro,,,,,,,,,,,,
Andir,4,-,50000000,2000,Mikro,,,,,,,,,,,,
Andir,3,-,32000000,1990,Mikro,,,,,,,,,,,,
Andir,2,12000000,36000000,2008,Mikro,,,,,,,,,,,,
Andir,14,375000000,432000000,-,Kecil,,,,,,,,,,,,
Andir,8,-,412500000,-,Kecil,,,,,,,,,,,,
Andir,7,25000000,360000000,-,Mikro,,,,,,,,,,,,
Andir,16,400000000,1218800000,1994,Kecil,,,,,,,,,,,,
Andir,10,200000000,600000000,1986,Kecil,,,,,,,,,,,,
Andir,13,-,720000000,2005,Kecil,,,,,,,,,,,,
Andir,20,100000000,500000000,1998,Kecil,,,,,,,,,,,,
Andir,25,35000000,600000000,1996,Mikro,,,,,,,,,,,,
Andir,7,-,1200000000,2000,Kecil,,,,,,,,,,,,
Andir,4,-,672000000,1993,Kecil,,,,,,,,,,,,
Andir,33,-,600000000,1993,Kecil,,,,,,,,,,,,
Andir,5,-,420000000,1960,Kecil,,,,,,,,,,,,
Andir,-,-,-,-,Menengah,,,,,,,,,,,,
Andir,-,-,-,-,Menengah,,,,,,,,,,,,
Andir,-,-,-,-,Menengah,,,,,,,,,,,,
Andir,10,-,250000000,2008,Mikro,,,,,,,,,,,,
Andir,2,-,1800000000,1993,Kecil,,,,,,,,,,,,
Andir,15,-,50000000,2006,Mikro,,,,,,,,,,,,
Andir,2,-,76500000,2008,Mikro,,,,,,,,,,,,
Andir,4,-,100000000,2007,Mikro,,,,,,,,,,,,
Andir,-,-,-,2005,Mikro,,,,,,,,,,,,
Andir,11,15000000,500000000,2009,Kecil,,,,,,,,,,,,
Andir,1,-,-,2012,Mikro,,,,,,,,,,,,
Andir,2,1000000,24000000,2007,Mikro,,,,,,,,,,,,
Andir,3,-,-,2013,Mikro,,,,,,,,,,,,
Andir,3,25000000,120000000,2001,Mikro,,,,,,,,,,,,
Andir,3,-,-,1995,Mikro,,,,,,,,,,,,
Andir,-,-,-,2005,Mikro,,,,,,,,,,,,
Andir,5,2000000,7200000,2010,Mikro,,,,,,,,,,,,
Andir,3,8000000,12000000,2009,Mikro,,,,,,,,,,,,
Andir,5,10000000,10000000,-,Mikro,,,,,,,,,,,,
Andir,-,4000000,4000000,1998,Mikro,,,,,,,,,,,,
