Kecamatan,Jumlah Karyawan,Aset,Omset,Lama Berdiri(Tahun),Kategori Usaha
Antapani,3,5000000.0,60000000.0,4.0,Mikro
Antapani,5,10000000.0,50000000.0,11.0,Mikro
Antapani,5,100000000.0,824000000.0,12.0,Kecil
Antapani,2,50000000.0,25000000.0,10.0,Mikro
Arcamanik,3,3000000.0,9000000.0,37.0,Mikro
Arcamanik,0,3000000.0,4200000.0,23.0,Mikro
Arcamanik,0,4000000.0,4200000.0,28.0,Mikro
Arcamanik,0,4000000.0,4200000.0,18.0,Mikro
Arcamanik,0,3000000.0,9000000.0,21.0,Mikro
Arcamanik,0,3000000.0,2400000.0,24.0,Mikro
Arcamanik,0,3000000.0,4200000.0,22.0,Mikro
Arcamanik,0,3000000.0,2400000.0,24.0,Mikro
Arcamanik,0,3000000.0,2400000.0,21.0,Mikro
Arcamanik,0,3000000.0,2400000.0,29.0,Mikro
Arcamanik,0,3000000.0,9000000.0,29.0,Mikro
Arcamanik,0,3000000.0,4200000.0,28.0,Mikro
Arcamanik,0,4000000.0,4200000.0,30.0,Mikro
Arcamanik,0,3000000.0,4200000.0,29.0,Mikro
Arcamanik,0,4000000.0,4200000.0,27.0,Mikro
Arcamanik,0,3000000.0,4200000.0,26.0,Mikro
Arcamanik,0,3000000.0,4200000.0,20.0,Mikro
Arcamanik,0,4000000.0,4200000.0,24.0,Mikro
Arcamanik,0,3000000.0,4200000.0,29.0,Mikro
Arcamanik,0,3000000.0,4200000.0,27.0,Mikro
Arcamanik,0,3000000.0,2400000.0,27.0,Mikro
Arcamanik,0,3000000.0,2400000.0,21.0,Mikro
Arcamanik,0,3000000.0,4200000.0,26.0,Mikro
Arcamanik,0,3000000.0,2400000.0,20.0,Mikro
Arcamanik,0,4000000.0,4200000.0,29.0,Mikro
Arcamanik,0,3000000.0,4200000.0,29.0,Mikro
Arcamanik,1,3000000.0,4200000.0,29.0,Mikro
Arcamanik,0,3000000.0,4200000.0,39.0,Mikro
Arcamanik,0,3000000.0,4200000.0,20.0,Mikro
Arcamanik,0,3000000.0,4200000.0,27.0,Mikro
Arcamanik,0,3000000.0,2400000.0,23.0,Mikro
Arcamanik,0,3000000.0,2400000.0,29.0,Mikro
Arcamanik,0,3000000.0,2400000.0,30.0,Mikro
Arcamanik,0,3000000.0,2400000.0,23.0,Mikro
